id,st_name,oneway,geometry,speed_lim,frc,length_m,tot_inj_sum,crash_count,pred_crash,bikeway_type,bikelane_id
1112,PARKVIEW,B,"LINESTRING (-79.91264169027227 40.421490432198574, -79.91286645892313 40.42121713186987, -79.91313384198466 40.42101236789477, -79.91338922706721 40.420825673097035, -79.91370708531134 40.42071057378786, -79.91442711804945 40.420533022840566, -79.91457369566734 40.42048156607159)",25,4,205.7317472163796,0.0,0.0,0.13348834954580352,None,
1221,GLADSTONE,B,"LINESTRING (-79.94241028344199 40.41576232100756, -79.94239687065563 40.4157364909112, -79.94226911510115 40.415480804871564, -79.94213063322067 40.41522669517594, -79.94198281528676 40.41498923847434, -79.9418448331567 40.414722762653994, -79.94180349793193 40.41463911212499, -79.94174993133878 40.41456599059044, -79.94167572760637 40.41446580120124, -79.94153614560314 40.41423299293264, -79.94136345229232 40.4139760991154, -79.94119508555919 40.41374177803381, -79.94101876009184 40.41348357880377, -79.94088005767479 40.41325006754187, -79.94072707041792 40.412991425241074, -79.94057921775128 40.412752593677716, -79.9404584990916 40.412491968866945, -79.94043625293155 40.412442965452236)",25,4,405.4652011130483,0.0,0.0,0.1501108690219216,None,
1381,BEATTY,B,"LINESTRING (-79.92683451946245 40.46212987426506, -79.92666052321371 40.462419403675554, -79.92653744871185 40.462627171242076)",25,4,60.70413907153733,0.0,0.0,0.12258424107137444,None,
1384,WHITFIELD,TF,"LINESTRING (-79.92571880976912 40.46172802368349, -79.92555407008571 40.46199815555664, -79.92540393319221 40.462247418748554, -79.92538346102712 40.46228143932516)",25,4,67.72285911803282,0.0,0.0,0.12309083208483604,None,
1389,BRIAR CLIFF,B,"LINESTRING (-79.89863134163805 40.44173038862042, -79.89863684250808 40.44167743053402, -79.89872363088263 40.44141221883852, -79.89874671842517 40.44134726227273)",25,4,43.73422121492148,0.0,0.0,0.12136799896439922,None,
1409,WIGHTMAN,B,"LINESTRING (-79.92773981905883 40.43739626210291, -79.92773944258657 40.43738459943179, -79.9277278908683 40.43711023349671, -79.92771723709212 40.436835850626835, -79.92771465625368 40.43678372944235)",25,3,68.05813045957053,1.0,1.0,0.688903768344136,Bike Lanes,92.0
1410,PANTHER HOLLOW,TF,"LINESTRING (-79.94625208888523 40.434821071405004, -79.94642921465662 40.434908317445974, -79.94657149178047 40.43505042456022, -79.94664594645842 40.43517311442566, -79.94664485270903 40.435306884252064, -79.94664402916187 40.43540767360093, -79.94651581476914 40.43598135968463, -79.94649627015194 40.43604145508078)",25,3,150.33078983231877,0.0,0.0,0.7230248503114785,On Street Bike Route,21.0
1411,HENRIETTA,B,"LINESTRING (-79.89705106652745 40.435551485587844, -79.89670436011825 40.4356382428593, -79.89652432791877 40.43568346084667, -79.89619010264327 40.435767238890925, -79.8959745924681 40.435826843066074)",25,4,96.33650237799496,3.0,3.0,0.12517783920578535,None,
1412,LAWN,B,"LINESTRING (-79.96165667771292 40.43381126419068, -79.96164029243582 40.43380471317745, -79.96131959008778 40.43366806760091, -79.96100526230116 40.43353404323129, -79.96078484848569 40.433442155759316)",25,4,84.58139810553378,0.0,0.0,0.12431620283843327,None,
1415,MOUNT ROYAL,B,"LINESTRING (-79.9139915671909 40.42857341549914, -79.914004738437 40.428647993327246, -79.91403690305388 40.428922659429844)",25,4,38.9820882127101,0.0,0.0,0.12102957924252296,None,
1437,HERBERT,B,"LINESTRING (-79.94088036412428 40.401308331147234, -79.94058930003101 40.40113811676014, -79.9403028788957 40.40097261885199, -79.9400164826296 40.40080780714852, -79.93986917893133 40.40072341949664, -79.93978223785881 40.40067289768646)",25,4,116.92898819585106,0.0,0.0,0.126701665243078,None,
1438,HERBERT,B,"LINESTRING (-79.93978223785881 40.40067289768646, -79.93959283377228 40.400563906996936, -79.9394343189295 40.40046600209589)",25,4,37.42863239555327,0.0,0.0,0.1209191557919238,None,
1484,WHIPPLE,B,"LINESTRING (-79.89494836402793 40.42508025830268, -79.89435233363982 40.42509269622134, -79.89400840422007 40.42509564602371, -79.89329352834243 40.42509929975372, -79.89327467663018 40.42509964947502, -79.89326926863566 40.425099063347425, -79.89325219053364 40.425098693711085, -79.89319016206038 40.42509709947215)",25,4,149.25090390835467,0.0,0.0,0.12913095343361528,None,
1494,BLVD OF THE ALLIES,FT,"LINESTRING (-79.97493453789234 40.43653562261311, -79.97458704445904 40.43659585828603, -79.97440131304893 40.436630324780275, -79.97423789159363 40.43666024273851, -79.97421288791708 40.43666484192169, -79.97384393559018 40.436728234248555, -79.97351576292047 40.43677505017256, -79.97348645088542 40.436785224727416, -79.97319057840798 40.43683073261938, -79.97312972901075 40.43683808241971, -79.97294259983825 40.436857470287855, -79.97280713949554 40.43686350936226, -79.97269320458967 40.43686844686285, -79.97257738358803 40.43687067466648, -79.97233045454963 40.43687473746449)",35,3,224.89621091657136,0.0,3.0,1.5694424742512223,None,
1503,BLVD OF THE ALLIES,TF,"LINESTRING (-79.96953266984363 40.436296572447176, -79.96973574979889 40.43635278310997, -79.97006884447906 40.436455532762004, -79.97031206000095 40.43652980315387, -79.97065103477881 40.436620080898386, -79.97080472805281 40.436649391920874, -79.97115521101414 40.436707182261216, -79.97134766973446 40.43674055176577, -79.97169280715987 40.43677235846933, -79.97204493023227 40.43682531024584, -79.97233045454963 40.43687473746449)",35,3,246.9049588105349,0.0,0.0,1.5898702453157665,None,
1559,BRADY,FT,"LINESTRING (-79.97346797334282 40.437151467415525, -79.97349427411591 40.437022592241185, -79.97351576292047 40.43677505017256, -79.97350543737265 40.4366798301192, -79.97348809406776 40.4366170098951, -79.9731578882749 40.43660208291782, -79.97303452335665 40.436593471977524, -79.97286188953488 40.43658924282902, -79.97264027661174 40.43657085150156, -79.97254631436319 40.43655481162361, -79.97255862295833 40.43649210470443, -79.97256028304754 40.43648795488081, -79.97257170403655 40.43637103604868, -79.9725717786754 40.4363703670657, -79.97257995942931 40.43629742183337, -79.97258003706897 40.436296736576985, -79.97260949023656 40.43601815145987, -79.9726093546 40.43601403437388, -79.9726211822756 40.43590946498502, -79.97263217983613 40.435806969155244)",25,4,223.4989598706427,1.0,1.0,0.13488922868589018,None,
1560,FORBES AVE TO BIRMINGHAM BRG,FT,"LINESTRING (-79.97327558671842 40.43714761803851, -79.97323674610215 40.4370048949125, -79.97323671781945 40.43700475221774, -79.97323566737082 40.43699942304092, -79.97319057840798 40.43683073261938, -79.97316514191323 40.43671314990639, -79.97315435500899 40.436658440183855, -79.9731578882749 40.43660208291782, -79.97315188444729 40.43655620522487, -79.97314008021752 40.43647062231346, -79.97313226791498 40.43636986305452, -79.97313990599001 40.43630175599379, -79.97315305377887 40.43618274446052, -79.97316221615452 40.43610636957817, -79.97316974758346 40.436062290865614, -79.97318196514092 40.43599684155208, -79.97319409224639 40.43592864811314, -79.9732156367752 40.43581908552966, -79.9732515947286 40.43562892821249, -79.97330643239187 40.435357405535, -79.97335831133799 40.435105158985664, -79.97341314817582 40.43483363713383, -79.9734272673555 40.43474412397005, -79.97344494492728 40.43451724912797, -79.97344971032247 40.43429609734947, -79.9734502727011 40.43427001883553, -79.9734491648549 40.43423640331699, -79.97340597871056 40.43385281242895)",25,4,368.9731967828909,2.0,4.0,0.14692644297380406,None,
1631,BIGELOW,B,"LINESTRING (-79.94363953177132 40.420119308062496, -79.94333825369505 40.4199692025905, -79.94303785340098 40.41981839142777, -79.94273489417559 40.419671746847165, -79.94243103985968 40.41952511938184, -79.94241187792002 40.41951587257786)",25,4,123.89352015567906,0.0,0.0,0.12722122111616685,None,
1632,BIGELOW,B,"LINESTRING (-79.94212806101251 40.419377788064665, -79.94182420930902 40.41923115809617, -79.94175027736006 40.419194805405894)",25,4,37.96273033767397,0.0,0.0,0.12095710941479851,None,
1633,BIGELOW,B,"LINESTRING (-79.94241187792002 40.41951587257786, -79.94212806101251 40.419377788064665)",25,4,28.556630096579543,0.0,0.0,0.12029044006231007,None,
1807,DAWSON,FT,"LINESTRING (-79.95421924580124 40.42977281711303, -79.95415865802335 40.43003551528232, -79.9540992365199 40.430306430505595, -79.95403889431176 40.43057667497572, -79.95397947182163 40.430847589212625, -79.95392004764678 40.43111850252883, -79.95387077135189 40.43134254277839)",25,4,176.81647134840586,0.0,0.0,0.13123952461091226,None,
1808,TERRACE,B,"LINESTRING (-79.96482343652269 40.44043658265325, -79.96454198559252 40.44048198974214, -79.96442759644455 40.4405006560382, -79.96437861799492 40.44051395183589)",25,4,38.743381876651654,0.0,0.0,0.12101260485581332,None,
1850,PANTHER HOLLOW,FT,"LINESTRING (-79.94469917029737 40.43488764622218, -79.94493350510436 40.435104236281305, -79.9449625204671 40.43514006661561, -79.94517003388353 40.435360598009666, -79.94532901481692 40.4354976155859, -79.94550299038308 40.43562611052514, -79.9455876668939 40.4356883433363, -79.94586558261808 40.43586360142438, -79.94615748428612 40.436026923222975, -79.94620116183451 40.43605421904809)",25,3,182.95624905153923,0.0,0.0,0.7370190585825694,None,
1869,LUSTER,B,"LINESTRING (-79.92274201499265 40.42068721825812, -79.92274420592068 40.42061578634276, -79.92272726953831 40.420340835291796, -79.92270543123176 40.42030417638951)",25,4,42.97665978928274,0.0,0.0,0.12131398644098776,None,
1889,EWING,B,"LINESTRING (-79.95497065722633 40.46274368549991, -79.95461564598554 40.462798507861464, -79.95460491262557 40.46280008638063, -79.95456202388652 40.46280776800838, -79.95422052967064 40.46286370517843, -79.95416797163485 40.4628715470166)",25,4,69.55344102975305,0.0,0.0,0.12322330208631492,None,
1891,SCHENLEY,B,"LINESTRING (-79.95167520351698 40.442407621476875, -79.95163244170232 40.442391274638844, -79.95155765334624 40.44237189751731, -79.95148316863786 40.44235185152538, -79.95140899588644 40.44233113830699, -79.95133514702442 40.442309762139914, -79.9512616303903 40.44228772556851, -79.95118845903616 40.442265031047455, -79.95111564015146 40.44224168204392, -79.95104318446072 40.44221768195785, -79.95097110386679 40.442193034166664, -79.95089940552964 40.442167741237434, -79.95082810141086 40.44214180834816, -79.95075719981911 40.442115237143184, -79.95068671153757 40.44208803282307, -79.95061664490433 40.4420601979325, -79.95054701188069 40.442031737649586, -79.95047782080454 40.44200265451899, -79.9504090800727 40.44197295288601, -79.95034080046788 40.44194263795136, -79.9502729915063 40.44191171223728, -79.95020566279221 40.441880180966926, -79.95013882154367 40.441848048508064, -79.95007247966284 40.44181531823852, -79.9500066444264 40.44178199632648, -79.94994132537968 40.44174808619482, -79.9498765321266 40.44171359306665, -79.94981227306326 40.441678521287415, -79.94974855661518 40.44164287610281, -79.94968539117828 40.441606661858266, -79.94962278753479 40.4415698837547, -79.94956075293143 40.44153254706022, -79.94949929579347 40.44149465702065, -79.94943842454596 40.44145621888169, -79.94924431140564 40.441344586057745, -79.94923631871983 40.44134003834487, -79.94915093617128 40.44129144621323, -79.94886259490401 40.441128063803234, -79.94859991157142 40.44097998022951, -79.94818521925559 40.440799092664676)",25,3,347.6476240290703,0.0,1.0,0.8119051895209519,Protected Bike Lane,23.0
1897,GLEN LYTLE,B,"LINESTRING (-79.93855984427174 40.42096252458479, -79.93860729471638 40.42068086137916, -79.93865326105163 40.42040883760347, -79.93870012469804 40.42013679859182, -79.9387492726531 40.41987981570093)",25,4,121.31288504266374,0.0,0.0,0.12702845707890836,None,
1959,SEMPLE,FT,"LINESTRING (-79.95463138950588 40.43683278594671, -79.95457509672578 40.436787179622286)",25,4,6.962010369061349,0.0,0.0,0.1187737621369307,None,
2138,FORWARD,B,"LINESTRING (-79.91334042801246 40.42714817022991, -79.9133070321879 40.4271151583288, -79.91326993556208 40.42707878433579, -79.91305185155842 40.42690389723538, -79.91289225550786 40.42679009217872, -79.91262963149168 40.42657572373484, -79.91245756789448 40.42646215147001)",35,3,107.01713684316441,0.0,1.0,1.4644162916031394,Cautionary Bike Route,85.0
2176,AURELIUS,B,"LINESTRING (-79.89572449114688 40.422511552923964, -79.89572258671164 40.42250815513201, -79.89570621076825 40.42244729384599)",25,4,7.3108547720698285,0.0,0.0,0.11879811028090971,None,
2235,MILTON,B,"LINESTRING (-79.89723733064048 40.43606904275497, -79.89705106652745 40.435551485587844)",25,4,59.61064731506946,0.0,0.0,0.1225055039158839,None,
2262,SCOTT,B,"LINESTRING (-79.92579824289858 40.43964872323014, -79.92579828715145 40.43965009530934, -79.9258082139011 40.43973502806902, -79.92582230407075 40.43989333504758, -79.92584044116569 40.44003783489766, -79.9258584642787 40.440234509357424)",25,4,65.25936883209856,0.0,0.0,0.12291278643940826,None,
2266,BEECHWOOD,B,"LINESTRING (-79.93857969500351 40.42705792814401, -79.93868368129242 40.42710675635183, -79.93875351754865 40.42712740009684, -79.93882425159319 40.42714802769266, -79.93889494114087 40.42716728226789, -79.93896560847274 40.427185850761276)",35,3,35.84913652733794,1.0,2.0,1.404441386469921,None,
2293,IRVINE,B,"LINESTRING (-79.94673045666364 40.416017301782524, -79.94659936184094 40.41576992037652, -79.94646532977296 40.41551504629042, -79.94633219503707 40.415260153194524, -79.94619996003779 40.415005242847755, -79.94606770371296 40.41474964630054, -79.94599592277018 40.414613718331225, -79.94597580183478 40.414574972452726)",35,3,172.5122218946334,0.0,4.0,1.5218710215708031,None,
2354,OAK GROVE,B,"LINESTRING (-79.89599559964256 40.422789336625044, -79.89572449114688 40.422511552923964)",25,4,38.48549859160262,0.0,0.0,0.12099426947314632,None,
2379,PARKVIEW,B,"LINESTRING (-79.90990629957935 40.42467665233265, -79.90991419240112 40.424558433631404, -79.91034899997017 40.424083512735535)",25,4,77.51628534111076,0.0,0.0,0.12380119389269059,None,
2505,KELLY,B,"LINESTRING (-79.89434882918326 40.44123468724442, -79.89426350545085 40.44123558402162, -79.89425630032443 40.44123503126359, -79.89423832021788 40.44123467843492, -79.89422754523761 40.44123487836358, -79.894199688066 40.44123470879587, -79.89386822542698 40.44123674068119, -79.8935376400054 40.441238067092684, -79.89336876536318 40.44123914005469)",25,4,83.16503276836616,0.0,0.0,0.12421278596584759,None,
2620,WILKINS,B,"LINESTRING (-79.91233955094275 40.44673431475703, -79.9120021509336 40.446748178933085, -79.91180193979807 40.446725151588794, -79.91164367144059 40.446693103776276)",25,4,59.737076687133765,0.0,0.0,0.12251460490912698,None,
2691,TRENTON,B,"LINESTRING (-79.89233036848752 40.43881256896239, -79.89232598020632 40.4387309627748, -79.89231347986427 40.43830902689155, -79.89230657229349 40.43823295900259, -79.89223665216673 40.43806813433685, -79.89218150864366 40.437944221801374)",25,4,98.18498295940162,0.0,0.0,0.12531387315123604,None,
