route_id,direction_id,stop_id,headway_mean
13,1,1551,1208.5714285714287
13,1,1553,1208.5714285714287
13,1,1554,1208.5714285714287
13,1,1556,1208.5714285714287
13,1,1557,1208.5714285714287
13,1,15881,1207.5
13,1,16261,1350.2857142857142
13,1,16529,1350.0
13,1,16695,1353.0
13,1,17552,1208.5714285714287
13,1,18312,1205.25
13,1,1847,1349.0
13,1,1848,1348.4285714285713
13,1,1850,1346.857142857143
13,1,1929,1326.875
13,1,1931,1326.625
13,1,1932,1326.5
13,1,1933,1326.125
13,1,1934,1325.875
13,1,1935,1325.5
13,1,1936,1325.375
13,1,1938,1214.2857142857142
13,1,1939,1212.7142857142858
13,1,1940,1212.4285714285713
13,1,19557,1347.857142857143
13,1,19558,1327.5
13,1,19746,1353.7142857142858
13,1,19748,1354.2857142857142
13,1,19749,1354.2857142857142
13,1,19855,1327.0
13,1,20182,1200.0
13,1,21329,1204.375
13,1,21330,1202.75
13,1,21431,1354.2857142857142
13,1,21433,1212.142857142857
13,1,21434,1210.5714285714287
13,1,22266,1327.25
13,1,22635,1326.75
13,1,22669,1354.2857142857142
13,1,3167,1350.0
13,1,3234,1210.2857142857142
13,1,3235,1210.142857142857
13,1,3236,1209.7142857142858
13,1,3237,1209.142857142857
13,1,3238,1208.857142857143
13,1,587,1208.5714285714287
13,1,588,1208.5714285714287
13,1,619,1350.0
13,1,620,1354.2857142857142
13,1,733,1354.2857142857142
14,0,1413,1800.0
14,0,1414,1800.0
14,0,1415,1800.0
14,0,1416,1800.0
14,0,1418,1800.0
14,0,1419,1800.0
14,0,1421,1800.0
14,0,1422,1800.0
14,0,1424,1800.0
14,0,1425,1800.0
14,0,1427,1800.0
14,0,1429,1800.0
14,0,1430,1800.0
14,0,1431,1800.0
14,0,1432,1800.0
14,0,1433,1800.0
14,0,1434,1800.0
14,0,1435,1800.0
14,0,1436,1800.0
14,0,1438,1799.6
14,0,1439,1799.2
14,0,1440,1799.0
14,0,1441,1798.6
14,0,1444,1795.4
14,0,1446,1791.6
14,0,1447,1791.0
14,0,1449,1790.4
14,0,1452,1789.8
14,0,1453,1789.4
14,0,1455,1788.8
14,0,1456,1788.6
14,0,1457,1788.2
14,0,1458,1788.0
14,0,1459,1788.0
14,0,1460,1788.0
14,0,1462,1788.0
14,0,1463,1788.0
14,0,1464,1788.0
14,0,1465,1788.0
14,0,1466,1788.0
14,0,1468,1788.0
14,0,1469,1788.0
14,0,1471,1788.0
14,0,1472,1788.0
14,0,1473,1788.0
14,0,1474,1788.0
14,0,1475,1788.0
14,0,1476,1788.0
14,0,1477,1788.0
14,0,1478,1788.0
14,0,1479,1788.0
14,0,1480,1788.0
14,0,1481,1788.0
14,0,1483,1790.0
14,0,1484,1790.0
14,0,1487,1800.0
14,0,1488,1800.0
14,0,1489,1800.0
14,0,16051,1800.0
14,0,16086,1800.0
14,0,16963,1800.0
14,0,18289,1800.0
14,0,18291,1800.0
14,0,18292,1800.0
14,0,18293,1800.0
14,0,18294,1800.0
14,0,18296,1789.0
14,0,18298,1788.0
14,0,19883,1800.0
14,0,20837,1790.0
14,0,22817,1800.0
14,1,1332,1716.0
14,1,1334,1716.0
14,1,1335,1716.0
14,1,1337,1716.0
14,1,1338,1716.0
14,1,1340,1716.0
14,1,1341,1716.0
14,1,1342,1716.0
14,1,1343,1716.0
14,1,1344,1716.0
14,1,1345,1716.0
14,1,1346,1716.0
14,1,1347,1716.0
14,1,1348,1716.0
14,1,1349,1716.0
14,1,1350,1716.0
14,1,1351,1716.0
14,1,1353,1716.0
14,1,1354,1716.0
14,1,1355,1716.0
14,1,1357,1716.0
14,1,1358,1716.0
14,1,1359,1716.0
14,1,1361,1715.4
14,1,1363,1715.0
14,1,1364,1714.6
14,1,1365,1714.4
14,1,1366,1714.2
14,1,1368,1713.4
14,1,1370,1712.8
14,1,1371,1712.2
14,1,1373,1917.0
14,1,1376,1910.4
14,1,1377,1910.0
14,1,1378,1909.4
14,1,1379,1909.0
14,1,1380,1908.0
14,1,1381,1908.0
14,1,1382,1908.0
14,1,1383,1908.0
14,1,1384,1908.0
14,1,1385,1908.0
14,1,1386,1908.0
14,1,1387,1908.0
14,1,1388,1908.0
14,1,1389,1908.0
14,1,1390,1901.8
14,1,1391,1899.4
14,1,1392,1895.8
14,1,1395,1848.0
14,1,1397,1841.0
14,1,1398,1840.0
14,1,1400,1847.5
14,1,16051,1728.0
14,1,18279,1716.0
14,1,18280,1716.0
14,1,18281,1716.0
14,1,18283,1716.0
14,1,18284,1715.6
14,1,18285,1715.2
14,1,18286,1845.0
14,1,18287,1716.0
14,1,18288,1879.2
14,1,19883,1800.0
14,1,20381,1811.8
14,1,20390,1817.4
14,1,20832,1908.0
14,1,20836,1713.8
14,1,22626,1842.8
15,0,1407,1620.0
15,0,1408,1620.0
15,0,1587,1600.0
15,0,1589,1600.0
15,0,1590,1600.0
15,0,1591,1600.0
15,0,1592,1600.0
15,0,1593,1600.0
15,0,1594,1600.0
15,0,1768,1600.0
15,0,1797,1600.0
15,0,1798,1600.0
15,0,1806,1600.0
15,0,1807,1600.0
15,0,1809,1600.0
15,0,1810,1600.0
15,0,1811,1600.0
15,0,1812,1600.0
15,0,1813,1600.0
15,0,1814,1600.0
15,0,1815,1600.0
15,0,1816,1600.0
15,0,1817,1600.0
15,0,1819,1600.0
15,0,1820,1600.0
15,0,1821,1600.0
15,0,1823,1600.0
15,0,1824,1600.0
15,0,1825,1600.0
15,0,1826,1600.0
15,0,1827,1600.0
15,0,1828,1600.0
15,0,18636,1620.0
15,0,19329,1620.0
15,0,19514,1620.0
15,0,19857,1600.0
15,0,20826,1600.0
15,0,214,1620.0
15,0,215,1620.0
15,0,22287,1620.0
15,0,22300,1620.0
15,0,22894,1620.0
15,0,2596,1620.0
15,0,944,1620.0
15,1,12626,1550.0
15,1,15283,1500.0
15,1,15284,1500.0
15,1,15285,1500.0
15,1,1549,1520.5
15,1,1550,1523.0
15,1,1551,1523.6666666666667
15,1,1553,1525.5
15,1,1554,1526.5
15,1,1556,1528.8333333333333
15,1,1557,1530.0
15,1,174,1537.8333333333333
15,1,175,1540.0
15,1,17552,1522.0
15,1,1768,1536.0
15,1,1769,1536.0
15,1,1770,1536.0
15,1,1771,1536.0
15,1,1772,1530.0
15,1,1773,1530.0
15,1,1774,1530.0
15,1,1775,1530.0
15,1,1776,1530.0
15,1,1777,1530.0
15,1,1778,1530.0
15,1,1780,1530.0
15,1,1781,1530.0
15,1,1782,1527.0
15,1,1783,1526.5
15,1,1784,1526.1666666666667
15,1,1785,1525.0
15,1,1786,1524.5
15,1,1787,1523.8333333333333
15,1,1788,1523.0
15,1,1789,1522.1666666666667
15,1,1790,1521.5
15,1,1792,1520.0
15,1,21329,1542.3333333333333
15,1,21330,1544.8333333333333
15,1,5560,1500.0
15,1,625,1531.1666666666667
15,1,626,1532.1666666666667
15,1,627,1534.0
15,1,853,1535.6666666666667
15,1,959,1529.0
15,1,960,1528.5
15,1,961,1527.8333333333333
15,1,981,1530.0
16,0,1258,960.0
16,0,1319,960.0
16,0,1320,960.0
16,0,1321,960.0
16,0,1324,960.0
16,0,1325,960.0
16,0,1326,960.0
16,0,1587,1020.0
16,0,1589,1020.0
16,0,1590,1020.0
16,0,1591,1020.0
16,0,1592,966.6666666666666
16,0,1593,966.6666666666666
16,0,1594,966.6666666666666
16,0,1596,966.6666666666666
16,0,1599,966.6666666666666
16,0,1601,966.6666666666666
16,0,1602,966.6666666666666
16,0,1603,966.6666666666666
16,0,1605,960.0
16,0,1606,960.0
16,0,1607,960.0
16,0,1608,960.0
16,0,1610,960.0
16,0,1613,960.0
16,0,1615,960.0
16,0,1616,960.0
16,0,1618,960.0
16,0,1619,960.0
16,0,1624,960.0
16,0,1625,960.0
16,0,1626,960.0
16,0,1628,960.0
16,0,1630,960.0
16,0,16881,966.6666666666666
16,0,16882,960.0
16,0,18317,960.0
16,0,18318,960.0
16,0,18320,960.0
16,0,19514,1033.3333333333333
16,0,20182,1033.3333333333333
16,0,20479,960.0
16,0,214,1020.0
16,0,215,1020.0
16,0,22300,1033.3333333333333
16,0,22894,1033.3333333333333
16,0,623,1020.0
16,0,624,1020.0
16,1,1258,1162.5
16,1,1259,1162.5
16,1,1260,1162.5
16,1,1262,1162.5
16,1,1264,1162.5
16,1,1267,1162.5
16,1,1269,1162.5
16,1,1271,1162.5
16,1,1518,1159.875
16,1,1519,1158.25
16,1,1522,1155.0
16,1,1524,1155.0
