route_id,direction_id,stop_sequence,trip_id,stop_id,departure_time,traversal_time_sec,stop_lat,stop_lon,lat_prev,lon_prev,length_m
1,0,74,13635020,12788,36664.0,23.0,40.540578,-79.809571,40.540421,-79.811831,191.7715521447048
1,0,75,13635020,22304,36685.0,21.0,40.540794,-79.807179,40.540578,-79.809571,203.55101584493656
1,0,76,13635020,12790,36711.0,26.0,40.540998,-79.804275,40.540794,-79.807179,246.43953651061415
1,0,77,13635020,12791,36735.0,24.0,40.541021,-79.802476,40.540998,-79.804275,152.04006093142144
1,0,78,13635020,12792,36764.0,29.0,40.541445,-79.799743,40.541021,-79.802476,235.7057220990951
1,0,79,13635020,12793,36783.0,19.0,40.541225,-79.797943,40.541445,-79.799743,154.0569625904642
1,0,80,13635020,12794,36799.0,16.0,40.540921,-79.795923,40.541225,-79.797943,174.00819881078215
1,0,81,13635020,12796,36827.0,28.0,40.54094,-79.793071,40.540921,-79.795923,241.008378930206
1,0,82,13635020,12797,36846.0,19.0,40.541106,-79.790545,40.54094,-79.793071,214.24785479656458
1,0,83,13635020,12798,36859.0,13.0,40.541169,-79.788926,40.541106,-79.790545,136.9872194488034
1,0,84,13635020,12799,36881.0,22.0,40.54118,-79.786429,40.541169,-79.788926,211.003758134688
1,0,85,13635020,18331,36900.0,19.0,40.541027,-79.784225,40.54118,-79.786429,187.0169079890026
1,0,86,13635020,12801,36920.0,20.0,40.541037,-79.7823,40.541027,-79.784225,162.66950892902878
1,0,87,13635020,12802,36945.0,25.0,40.541182,-79.779641,40.541037,-79.7823,225.26741669590425
1,0,88,13635020,12803,36962.0,17.0,40.54138,-79.777912,40.541182,-79.779641,147.75239867618373
1,0,89,13635020,12804,36979.0,17.0,40.541693,-79.77612,40.54138,-79.777912,155.3740956847018
1,0,90,13635020,12805,36994.0,15.0,40.541945,-79.774666,40.541693,-79.77612,126.01882014713304
1,0,91,13635020,12806,37014.0,20.0,40.542548,-79.773145,40.541945,-79.774666,144.96340044682623
1,0,92,13635020,12807,37067.0,53.0,40.546179,-79.770383,40.542548,-79.773145,466.348252566701
1,0,93,13635020,12808,37212.0,145.0,40.560153,-79.772559,40.546179,-79.770383,1564.6779389954459
1,0,94,13635020,12658,37320.0,108.0,40.564138,-79.766112,40.560153,-79.772559,702.1034139443033
1,0,95,13635020,12659,37346.0,26.0,40.56259,-79.765741,40.564138,-79.766112,174.95973222247187
1,0,96,13635020,12660,37352.0,6.0,40.562312,-79.766678,40.56259,-79.765741,84.97483337273958
1,0,97,13635020,12661,37372.0,20.0,40.563447,-79.76792,40.562312,-79.766678,164.12069457329625
1,0,98,13635020,12809,37497.0,125.0,40.56787,-79.776113,40.563447,-79.76792,849.023181082463
1,0,99,13635020,12813,37564.0,67.0,40.573294,-79.777354,40.56787,-79.776113,612.1630525297027
1,0,100,13635020,12814,37583.0,19.0,40.574852,-79.777743,40.573294,-79.777354,176.32985090446647
1,0,101,13635020,12815,37614.0,31.0,40.576934,-79.778255,40.574852,-79.777743,235.5120575192204
1,0,102,13635020,12817,37668.0,54.0,40.58114,-79.778861,40.576934,-79.778255,470.4784453347801
1,0,103,13635020,12818,37689.0,21.0,40.582387,-79.778334,40.58114,-79.778861,145.62757669419608
1,0,104,13635020,12819,37707.0,18.0,40.583613,-79.777835,40.582387,-79.778334,142.6896076111341
1,0,105,13635020,12820,37737.0,30.0,40.585537,-79.777013,40.583613,-79.777835,224.91890004982855
1,0,106,13635020,19820,37765.0,28.0,40.587511,-79.776189,40.585537,-79.777013,230.2640150767331
1,0,107,13635020,21339,37880.0,115.0,40.593906,-79.769818,40.587511,-79.776189,891.6581866772136
1,0,108,13635020,21340,37951.0,71.0,40.598041,-79.764744,40.593906,-79.769818,628.4450384652848
1,0,109,13635020,21341,37982.0,31.0,40.599167,-79.762691,40.598041,-79.764744,213.8239833199112
1,0,110,13635020,12826,38008.0,26.0,40.600178,-79.760818,40.599167,-79.762691,194.02036108103542
1,0,111,13635020,21345,38074.0,66.0,40.600414,-79.756836,40.600178,-79.760818,337.21040853171667
1,0,112,13635020,16595,38081.0,7.0,40.600704,-79.756126,40.600414,-79.756836,68.06603577579591
1,0,113,13635020,21344,38094.0,13.0,40.601206,-79.754922,40.600704,-79.756126,115.96711579805132
1,0,114,13635020,12830,38120.0,26.0,40.601977,-79.752892,40.601206,-79.754922,191.63005820327157
1,0,115,13635020,12634,38160.0,40.0,40.602516,-79.754408,40.601977,-79.752892,141.32541938696954
1,0,116,13635020,12833,38209.0,49.0,40.601021,-79.756676,40.602516,-79.754408,253.569806410386
1,0,117,13635020,20817,38220.0,11.0,40.600684,-79.757112,40.601021,-79.756676,52.52778579837788
1,1,1,10775020,20817,17760.0,,40.600684,-79.757112,40.600684,-79.757112,0.0
1,1,2,10775020,16595,17840.0,80.0,40.600704,-79.756126,40.600684,-79.757112,83.27409187854217
1,1,3,10775020,21344,17861.0,21.0,40.601206,-79.754922,40.600704,-79.756126,115.96711579805132
1,1,4,10775020,12830,17892.0,31.0,40.601977,-79.752892,40.601206,-79.754922,191.63005820327157
1,1,5,10775020,12634,17940.0,48.0,40.602516,-79.754408,40.601977,-79.752892,141.32541938696954
1,1,6,10775020,12635,17961.0,21.0,40.602566,-79.755702,40.602516,-79.754408,109.38607520378481
1,1,7,10775020,12638,18030.0,69.0,40.600351,-79.760731,40.602566,-79.755702,490.8426015892545
1,1,8,10775020,12639,18055.0,25.0,40.599447,-79.762397,40.600351,-79.760731,172.88276101096264
1,1,9,10775020,12640,18088.0,33.0,40.598318,-79.764464,40.599447,-79.762397,214.97731206223725
1,1,10,10775020,12642,18180.0,92.0,40.593011,-79.770861,40.598318,-79.764464,799.9736829073034
1,1,11,10775020,19822,18278.0,98.0,40.587544,-79.776306,40.593011,-79.770861,762.1929206442915
1,1,12,10775020,12644,18303.0,25.0,40.585804,-79.777023,40.587544,-79.776306,202.7317483006074
1,1,13,10775020,12645,18336.0,33.0,40.58365,-79.77795,40.585804,-79.777023,251.9823744075607
1,1,14,10775020,12646,18355.0,19.0,40.582478,-79.778435,40.58365,-79.77795,136.60524235890054
1,1,15,10775020,12647,18375.0,20.0,40.581448,-79.778872,40.582478,-79.778435,120.32991711652704
1,1,16,10775020,12650,18433.0,58.0,40.57702,-79.778416,40.581448,-79.778872,493.87559124206706
1,1,17,10775020,12651,18466.0,33.0,40.574878,-79.777883,40.57702,-79.778416,242.39653816616206
1,1,18,10775020,12652,18485.0,19.0,40.573322,-79.777489,40.574878,-79.777883,176.19062936711
1,1,19,10775020,12656,18555.0,70.0,40.567774,-79.776218,40.573322,-79.777489,626.1815152833192
1,1,20,10775020,12658,18720.0,165.0,40.564138,-79.766112,40.567774,-79.776218,944.558840953937
1,1,21,10775020,12659,18739.0,19.0,40.56259,-79.765741,40.564138,-79.766112,174.95973222247187
1,1,22,10775020,12660,18757.0,18.0,40.562312,-79.766678,40.56259,-79.765741,84.97483337273958
1,1,23,10775020,12661,18782.0,25.0,40.563447,-79.76792,40.562312,-79.766678,164.12069457329625
1,1,24,10775020,12662,18896.0,114.0,40.560579,-79.772956,40.563447,-79.76792,531.6781780279041
1,1,25,10775020,12663,19074.0,178.0,40.545899,-79.770572,40.560579,-79.772956,1644.7232235351012
1,1,26,10775020,12664,19134.0,60.0,40.542507,-79.773393,40.545899,-79.770572,446.1830140100168
1,1,27,10775020,12665,19156.0,22.0,40.542023,-79.774696,40.542507,-79.773393,122.55298871584017
1,1,28,10775020,12666,19171.0,15.0,40.541829,-79.77583,40.542023,-79.774696,98.22173390921007
1,1,29,10775020,18337,19194.0,23.0,40.541438,-79.778078,40.541829,-79.77583,194.87003629639665
1,1,30,10775020,12668,19221.0,27.0,40.541225,-79.780351,40.541438,-79.778078,193.5262053283775
1,1,31,10775020,12670,19239.0,18.0,40.54113,-79.782293,40.541225,-79.780351,164.44152564439324
1,1,32,10775020,12671,19260.0,21.0,40.541093,-79.783997,40.54113,-79.782293,144.04943459924175
1,1,33,10775020,18339,19288.0,28.0,40.541274,-79.786875,40.541093,-79.783997,244.02663056316405
1,1,34,10775020,12673,19302.0,14.0,40.541262,-79.78847,40.541274,-79.786875,134.78628851686938
1,1,35,10775020,12675,19340.0,38.0,40.541009,-79.793372,40.541262,-79.78847,415.18074111029995
1,1,36,10775020,18341,19362.0,22.0,40.540986,-79.795585,40.541009,-79.793372,187.01977233470487
1,1,37,10775020,12678,19378.0,16.0,40.541276,-79.797705,40.540986,-79.795585,182.02239496565124
